"","month","value","year","Departamento","Municipio","variable","sector"
"1325","Enero",2,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2130","Febrero",2,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3130","Marzo",1,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4130","Abril",1,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5130","Mayo",1,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6130","Junio",3,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7130","Julio",3,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8130","Agosto",3,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9130","Septiembre",3,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10130","Octubre",3,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11135","Noviembre",3,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12130","Diciembre",3,2016,"08 - Atlántico","08296 - Galapa","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1326","Enero",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2131","Febrero",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3131","Marzo",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4131","Abril",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5131","Mayo",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6131","Junio",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7131","Julio",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8131","Agosto",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9131","Septiembre",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10131","Octubre",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11136","Noviembre",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12131","Diciembre",NA,2016,"08 - Atlántico","08372 - Juan De Acosta","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1327","Enero",4,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2132","Febrero",4,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3132","Marzo",4,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4132","Abril",6,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5132","Mayo",15,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6132","Junio",15,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7132","Julio",15,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8132","Agosto",15,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9132","Septiembre",15,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10132","Octubre",16,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11137","Noviembre",16,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12132","Diciembre",16,2016,"08 - Atlántico","08421 - Luruaco","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1328","Enero",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2133","Febrero",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3133","Marzo",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4133","Abril",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5133","Mayo",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6133","Junio",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7133","Julio",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8133","Agosto",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9133","Septiembre",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10133","Octubre",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11138","Noviembre",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12133","Diciembre",NA,2016,"08 - Atlántico","08433 - Malambo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1329","Enero",NA,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2134","Febrero",NA,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3134","Marzo",NA,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4134","Abril",NA,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5134","Mayo",NA,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6134","Junio",NA,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7134","Julio",NA,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8134","Agosto",1,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9134","Septiembre",1,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10134","Octubre",1,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11139","Noviembre",1,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12134","Diciembre",1,2016,"08 - Atlántico","08436 - Manatí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1330","Enero",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2135","Febrero",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3135","Marzo",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4135","Abril",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5135","Mayo",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6135","Junio",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7135","Julio",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8135","Agosto",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9135","Septiembre",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10135","Octubre",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11140","Noviembre",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12135","Diciembre",NA,2016,"08 - Atlántico","08520 - Palmar De Varela","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1331","Enero",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2136","Febrero",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3136","Marzo",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4136","Abril",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5136","Mayo",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6136","Junio",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7136","Julio",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8136","Agosto",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9136","Septiembre",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10136","Octubre",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11141","Noviembre",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12136","Diciembre",NA,2016,"08 - Atlántico","08549 - Piojó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1332","Enero",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2137","Febrero",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3137","Marzo",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4137","Abril",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5137","Mayo",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6137","Junio",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7137","Julio",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8137","Agosto",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9137","Septiembre",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10137","Octubre",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11142","Noviembre",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12137","Diciembre",1,2016,"08 - Atlántico","08558 - Polonuevo","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1333","Enero",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2138","Febrero",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3138","Marzo",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4138","Abril",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5138","Mayo",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6138","Junio",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7138","Julio",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8138","Agosto",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9138","Septiembre",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10138","Octubre",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11143","Noviembre",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12138","Diciembre",NA,2016,"08 - Atlántico","08560 - Ponedera","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1334","Enero",4,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2139","Febrero",4,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3139","Marzo",5,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4139","Abril",6,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5139","Mayo",6,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6139","Junio",7,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7139","Julio",5,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8139","Agosto",5,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9139","Septiembre",5,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10139","Octubre",5,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11144","Noviembre",5,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12139","Diciembre",5,2016,"08 - Atlántico","08573 - Puerto Colombia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1335","Enero",24,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2140","Febrero",24,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3140","Marzo",26,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4140","Abril",27,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5140","Mayo",35,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6140","Junio",28,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7140","Julio",28,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8140","Agosto",29,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9140","Septiembre",28,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10140","Octubre",28,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11145","Noviembre",30,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12140","Diciembre",31,2016,"08 - Atlántico","08606 - Repelón","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1336","Enero",1,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2141","Febrero",1,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3141","Marzo",1,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4141","Abril",1,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5141","Mayo",1,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6141","Junio",1,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7141","Julio",NA,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8141","Agosto",NA,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9141","Septiembre",NA,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10141","Octubre",NA,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11146","Noviembre",NA,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12141","Diciembre",NA,2016,"08 - Atlántico","08634 - Sabanagrande","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1337","Enero",10,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2142","Febrero",10,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3142","Marzo",9,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4142","Abril",7,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5142","Mayo",10,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6142","Junio",9,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7142","Julio",11,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8142","Agosto",12,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9142","Septiembre",12,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10142","Octubre",12,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11147","Noviembre",13,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12142","Diciembre",13,2016,"08 - Atlántico","08638 - Sabanalarga","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1338","Enero",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2143","Febrero",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3143","Marzo",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4143","Abril",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5143","Mayo",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6143","Junio",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7143","Julio",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8143","Agosto",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9143","Septiembre",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10143","Octubre",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11148","Noviembre",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12143","Diciembre",NA,2016,"08 - Atlántico","08675 - Santa Lucía","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1339","Enero",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2144","Febrero",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3144","Marzo",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4144","Abril",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5144","Mayo",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6144","Junio",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7144","Julio",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8144","Agosto",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9144","Septiembre",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10144","Octubre",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11149","Noviembre",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12144","Diciembre",NA,2016,"08 - Atlántico","08685 - Santo Tomás","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1340","Enero",12,2016,"08 - Atlántico","08758 - Soledad","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2145","Febrero",12,2016,"08 - Atlántico","08758 - Soledad","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3145","Marzo",12,2016,"08 - Atlántico","08758 - Soledad","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4145","Abril",12,2016,"08 - Atlántico","08758 - Soledad","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5145","Mayo",14,2016,"08 - Atlántico","08758 - Soledad","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
