"","month","value","year","Departamento","Municipio","variable","sector"
"23","Febrero",1,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"33","Marzo",1,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"43","Abril",1,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"53","Mayo",NA,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"63","Junio",1,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"73","Julio",1,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"83","Agosto",1,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"93","Septiembre",1,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"103","Octubre",1,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"113","Noviembre",1,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"123","Diciembre",1,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"16","Enero",526,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"24","Febrero",560,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"34","Marzo",554,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"44","Abril",1099,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"54","Mayo",1106,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"64","Junio",1109,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"74","Julio",1097,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"84","Agosto",640,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"94","Septiembre",606,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"104","Octubre",633,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
