"dane_code","department","municipality","cod_dde_2026","cod_mme_2026","municipality_2026","pvs1_petro_2022","petro_winner_2022","winner_name_2022","share_cepeda_2026","cepeda_winner_2026","winner_name_2026","total_votes_2026","match_type","switched_plurality","petro_share_diff","petro_supporter_switched"
"23419","Cordoba","Los Cordobas","13","023","LOS CORDOBAS",0.451199978590012,TRUE,"gustavo_petro",0.48962495166903,TRUE,"IVÁN CEPEDA CASTRO",7759,"exact",FALSE,0.0384249730790179,"No Switch (Still Petro)"
"23464","Cordoba","Momil","13","024","MOMIL",0.466199994087219,TRUE,"gustavo_petro",0.483953458637003,TRUE,"IVÁN CEPEDA CASTRO",7821,"exact",FALSE,0.0177534645497837,"No Switch (Still Petro)"
"23466","Cordoba","Montelibano","13","025","MONTELIBANO",0.717699944972992,TRUE,"gustavo_petro",0.709504643962848,TRUE,"IVÁN CEPEDA CASTRO",32300,"exact",FALSE,-0.00819530101014365,"No Switch (Still Petro)"
"23500","Cordoba","Monitos","13","027","MOÑITOS",0.458499997854233,TRUE,"gustavo_petro",0.480951923999616,TRUE,"IVÁN CEPEDA CASTRO",10421,"exact",FALSE,0.0224519261453834,"No Switch (Still Petro)"
"23555","Cordoba","Planeta Rica","13","028","PLANETA RICA",0.486500024795532,TRUE,"gustavo_petro",0.536728948041976,TRUE,"IVÁN CEPEDA CASTRO",27349,"exact",FALSE,0.0502289232464437,"No Switch (Still Petro)"
"23570","Cordoba","Pueblo Nuevo","13","031","PUEBLO NUEVO",0.438199996948242,TRUE,"gustavo_petro",0.472814721873693,FALSE,"ABELARDO DE LA ESPRIELLA",14346,"exact",TRUE,0.0346147249254508,"Switched (Voted Petro before, not anymore)"
"23574","Cordoba","Puerto Escondido","13","033","PUERTO ESCONDIDO",0.45540001988411,TRUE,"gustavo_petro",0.473468028419183,TRUE,"IVÁN CEPEDA CASTRO",9008,"exact",FALSE,0.0180680085350735,"No Switch (Still Petro)"
"23580","Cordoba","Puerto Libertador","13","032","PUERTO LIBERTADOR",0.6875,TRUE,"gustavo_petro",0.691705069124424,TRUE,"IVÁN CEPEDA CASTRO",15190,"exact",FALSE,0.00420506912442398,"No Switch (Still Petro)"
"23660","Cordoba","Sahagun","13","037","SAHAGUN",0.561899960041046,TRUE,"gustavo_petro",0.551906287987623,TRUE,"IVÁN CEPEDA CASTRO",45245,"exact",FALSE,-0.00999367205342316,"No Switch (Still Petro)"
"23670","Cordoba","San Andres De Sotavento","13","040","SAN ANDRES DE SOTAVENTO",0.563300013542175,TRUE,"gustavo_petro",0.646479851783233,TRUE,"IVÁN CEPEDA CASTRO",17272,"exact",FALSE,0.0831798382410577,"No Switch (Still Petro)"
