year,manifestos,sentences,climate_relevant_sentences,pooled_climate_share,mean_manifesto_share,median_manifesto_share,min_manifesto_share,max_manifesto_share
2022,4,2667,219,0.08211473565804274,0.08020792819410769,0.08156540461061808,0.036328871892925434,0.12137203166226913
2026,5,4806,147,0.03058676654182272,0.06632532689082551,0.07878787878787878,0.01818181818181818,0.10984848484848485
