"","Year","Municipality","Mean_price_of_hydrocarbons_in_USD","Total_production_of_the_field_in_barrels_or_kilo_cubic_feet_by_municipality","Total_volume_of_royalties_liquidated_in_barrels_or_kilo_cubic_feet_by_municipality","Total_royalties_liquidated_in_COP_pesos_by_municipality","Production_Years","Production_2010_2019","Opening","Closing","drop_during_crisis","Production_pause","Unique_oil_field_by_municipality"
"49",2010,"PAZ DE ARIPORO",62.8358547008547,2875586,308320.1,38135280487.2,10,1,"","2021","1","1",30
"50",2010,"PIAMONTE",65.1951428571429,304094,49641.3,6096270469,10,1,"","2021","0","1",4
"51",2010,"PIEDRAS",46.33026875,1408283,187180.4,12762217278.7,10,1,"","2021","1","1",4
"52",2010,"PORE",68.6727777777778,423929,33914.3,4314597770.1,10,1,"","2021","1","1",3
"53",2010,"PRADO",66.9533333333333,33264,6652.8,832539035,10,1,"","2021","1","1",1
"54",2010,"PUERTO ASIS",66.1,2098335,175902.5,21829849587.6,10,1,"","2021","1","1",7
"55",2010,"PUERTO BOYACA",65.4241176470588,10962925,1384343.7,171636322113.2,10,1,"","2021","0","1",12
"56",2010,"PUERTO CAICEDO",66.8346551724138,388037,77607.4,9805408890.7,10,1,"","2021","1","1",6
"57",2010,"PUERTO GAITAN",62.2254337899543,59099924,10096887.5,1174918772028.6,10,1,"","2021","1","1",49
"58",2010,"PUERTO GUZMÁN",64.5475,13215,2643,322195981.9,5,0,"","2017","NA","0",1
"59",2010,"PUERTO LOPEZ",64.935,413282,82656.4,10172988280.2,10,1,"","2021","0","1",5
"60",2010,"PUERTO NARE",65.315,1191259,183528.1,22719290875.2,10,1,"","2021","1","1",6
"61",2010,"PUERTO SALGAR",62.94,17512,3502.4,416490953.1,8,0,"","2017","1","0",1
"62",2010,"PUERTO TRIUNFO",65.3325,329156,52664.9,6517662804.3,10,1,"","2021","1","1",2
"63",2010,"PUERTO WILCHES",48.1813934426229,1248030,200151,21105576403.8,10,1,"","2021","1","1",6
"64",2010,"PULI",64.26,60258,12051.6,1467450683.4,10,1,"","2021","0","1",1
"65",2010,"PURIFICACIÓN",62.4150384615385,2145256,427347.5,52064557750.2,10,1,"","2021","1","1",4
"66",2010,"RIO DE ORO",66.6236,313797,57316.4,7222462345.5,10,1,"","2021","1","1",12
"67",2010,"RIOHACHA",3.369625,55201132,11040226.4,70314544055.6,10,1,"","2021","1","1",4
"68",2010,"RIONEGRO",50.2888636363636,790647,145547.1,11000641890.5,10,1,"","2021","1","1",6
"69",2010,"SABANA DE TORRES",38.6144109947644,8049944,1566693.2,47226030990.2,10,1,"","2021","1","1",20
"70",2010,"SAHAGUN",3.35071212121212,1064323,68152.1,431384095.4,10,1,"","2021","1","1",8
"71",2010,"SAN ALBERTO",66.015,145786,29157.2,3658483100.1,10,1,"","2021","1","1",1
"72",2010,"SAN LUIS",68.15,4259,515.7,65611594.7,10,1,"","2021","1","1",1
"73",2010,"SAN LUIS DE GACENO",70.548,12931,1034.4,135060306.2,8,0,"","2021","0","1",1
"74",2010,"SAN LUIS DE PALENQUE",64.0465751633987,2488825,276583.9,35348063222,10,1,"","2021","1","1",39
"75",2010,"SAN MARTÍN",59.3716393442623,1658446,255114.6,31781022012.8,10,1,"","2021",NA,NA,13
"76",2010,"SAN MIGUEL",66.9025,378676,75735.2,9593292922.9,10,1,"","2021","1","1",4
"77",2010,"SAN PEDRO",25.8287222222222,11051686,769628.3,6344321394.2,10,1,"","2021","1","1",5
"78",2010,"SAN VICENTE DE CHUCURI",39.55925,3513168,688685.7,39427314699,10,1,"","2021","1","1",10
"79",2010,"SANTA ROSALIA",60.09,132892,10631.3,1209350290.2,8,0,"","2017","1","0",1
"80",2010,"SARAVENA",69.25,179210,28673.5,3769407663.4,9,0,"","2018","0","1",1
"81",2010,"SARDINATA",32.4691666666667,298084,19916.6,136654451.4,10,1,"","2021","1","1",1
"82",2010,"SIMACOTA",68.91,11671,2334.2,299044204.6,10,1,"","2021","1","1",1
"83",2010,"TALAIGUA NUEVO",71.90404,111054,22210.8,3136280979.3,10,1,"","2021","0","1",2
"84",2010,"TAME",67.9207692307692,224458,17944.1,2310860273,5,0,"","2021","NA","1",4
"85",2010,"TAURAMENA",37.021740530303,49866846,9758583.3,247394083194.8,10,1,"","2021","0","1",30
"86",2010,"TESALIA",58.8946923076923,723175,40104,4187011146.4,10,1,"","2021","1","1",1
"87",2010,"TIBU",60.893734939759,1238543,222058.7,22449762082.9,10,1,"","2021","0","1",5
"88",2010,"TOPAGA",59.8071428571429,21905,1752.5,199694471.3,10,1,"","2021","1","1",3
"89",2010,"TRINIDAD",63.1126754385965,2278115,226258.1,27898941561.1,10,1,"","2021","1","1",22
"90",2010,"URIBIA",3.369625,59133024,11826604.8,75323394187,10,1,"","2021","1","1",4
"91",2010,"VALLE DEL GUAMUEZ",66.9025,335297,67059.4,8511689144.3,10,1,"","2021","0","1",4
"92",2010,"VILLA NUEVA",65.6,200998,16234.1,1985861578.1,10,1,"","2021","0","1",16
"93",2010,"VILLAGARZON",65.3375,6743723,612756.2,78289010883.3,10,1,"","2021","1","1",5
"94",2010,"VILLAVICENCIO",41.6978973305955,11222839,1387615.8,97110991832.1,10,1,"","2021","1","1",17
"95",2010,"VILLAVIEJA",58.9108461538462,54769,4409.1,522910705.5,10,1,"","2021","1","1",2
"96",2010,"VISTA HERMOSA",60.7,15055,903.2,108550376.3,8,0,"","2017","0","0",4
"97",2010,"YAGUARA",58.5785384615385,1356454,271290.8,32030509992.2,10,1,"","2021","1","1",1
"98",2010,"YONDO",64.5441818181818,6115763,725999.9,91055409410.4,10,1,"","2021","1","1",6
"99",2010,"YOPAL",49.7994313099042,37008177,7139420.8,259458780915.7,10,1,"","2021","0","1",24
"100",2010,"ARIGUANI",NA,NA,NA,NA,9,0,NA,NA,"0","1",3
