"","Measures","Edad","Sexo","Hierarchy","value"
"1157","Numero Total Empleados","46","FEMENINO","2019/04/02",12
"1158","Numero Total Empleados","47","FEMENINO","2019/04/02",176
"1159","Numero Total Empleados","49","FEMENINO","2019/04/02",164
"1160","Numero Total Empleados","59","FEMENINO","2019/04/02",12
"1161","Numero Total Empleados","61","FEMENINO","2019/04/02",12
"1162","Numero Total Empleados","76","FEMENINO","2019/04/02",12
"1163","Numero Total Empleados","22","MASCULINO","2019/04/02",164
"1164","Numero Total Empleados","23","MASCULINO","2019/04/02",164
"1165","Numero Total Empleados","24","MASCULINO","2019/04/02",164
"1166","Numero Total Empleados","25","MASCULINO","2019/04/02",164
"1167","Numero Total Empleados","26","MASCULINO","2019/04/02",164
"1168","Numero Total Empleados","27","MASCULINO","2019/04/02",164
"1169","Numero Total Empleados","28","MASCULINO","2019/04/02",164
"1170","Numero Total Empleados","29","MASCULINO","2019/04/02",176
"1171","Numero Total Empleados","30","MASCULINO","2019/04/02",164
"1172","Numero Total Empleados","31","MASCULINO","2019/04/02",164
"1173","Numero Total Empleados","32","MASCULINO","2019/04/02",164
"1174","Numero Total Empleados","33","MASCULINO","2019/04/02",164
"1175","Numero Total Empleados","34","MASCULINO","2019/04/02",164
"1176","Numero Total Empleados","35","MASCULINO","2019/04/02",164
"1177","Numero Total Empleados","36","MASCULINO","2019/04/02",164
"1178","Numero Total Empleados","37","MASCULINO","2019/04/02",164
"1179","Numero Total Empleados","38","MASCULINO","2019/04/02",164
"1180","Numero Total Empleados","39","MASCULINO","2019/04/02",164
"1181","Numero Total Empleados","40","MASCULINO","2019/04/02",164
"1182","Numero Total Empleados","41","MASCULINO","2019/04/02",164
"1183","Numero Total Empleados","42","MASCULINO","2019/04/02",164
"1184","Numero Total Empleados","43","MASCULINO","2019/04/02",165
"1185","Numero Total Empleados","44","MASCULINO","2019/04/02",164
"1186","Numero Total Empleados","45","MASCULINO","2019/04/02",164
"1187","Numero Total Empleados","46","MASCULINO","2019/04/02",164
"1188","Numero Total Empleados","47","MASCULINO","2019/04/02",164
"1189","Numero Total Empleados","48","MASCULINO","2019/04/02",164
"1190","Numero Total Empleados","49","MASCULINO","2019/04/02",164
"1191","Numero Total Empleados","50","MASCULINO","2019/04/02",164
"1192","Numero Total Empleados","51","MASCULINO","2019/04/02",164
"1193","Numero Total Empleados","52","MASCULINO","2019/04/02",164
"1194","Numero Total Empleados","53","MASCULINO","2019/04/02",164
"1195","Numero Total Empleados","54","MASCULINO","2019/04/02",164
"1196","Numero Total Empleados","55","MASCULINO","2019/04/02",166
"1197","Numero Total Empleados","56","MASCULINO","2019/04/02",164
"1198","Numero Total Empleados","57","MASCULINO","2019/04/02",176
"1199","Numero Total Empleados","59","MASCULINO","2019/04/02",164
"1200","Numero Total Empleados","61","MASCULINO","2019/04/02",164
"1201","Numero Total Empleados","64","MASCULINO","2019/04/02",164
"1202","Numero Total Empleados","66","MASCULINO","2019/04/02",166
"1203","Numero Total Empleados","68","MASCULINO","2019/04/02",164
"1204","Numero Total Empleados","69","MASCULINO","2019/04/02",164
"1205","Numero Total Empleados","70","MASCULINO","2019/04/02",164
"1206","Numero Total Empleados","72","MASCULINO","2019/04/02",12
"1207","Numero Total Empleados","83","MASCULINO","2019/04/02",12
"1208","Numero Total Empleados","84","MASCULINO","2019/04/02",12
"1209","Numero Total Empleados","86","MASCULINO","2019/04/02",12
"1210","Numero Total Empleados","23","FEMENINO","2019/04/03",15
"1211","Numero Total Empleados","29","FEMENINO","2019/04/03",9
"1212","Numero Total Empleados","30","FEMENINO","2019/04/03",82
"1213","Numero Total Empleados","43","FEMENINO","2019/04/03",82
"1214","Numero Total Empleados","44","FEMENINO","2019/04/03",82
"1215","Numero Total Empleados","48","FEMENINO","2019/04/03",15
"1216","Numero Total Empleados","50","FEMENINO","2019/04/03",15
"1217","Numero Total Empleados","53","FEMENINO","2019/04/03",15
"1218","Numero Total Empleados","54","FEMENINO","2019/04/03",9
"1219","Numero Total Empleados","25","MASCULINO","2019/04/03",9
"1220","Numero Total Empleados","26","MASCULINO","2019/04/03",9
"1221","Numero Total Empleados","27","MASCULINO","2019/04/03",82
"1222","Numero Total Empleados","30","MASCULINO","2019/04/03",15
"1223","Numero Total Empleados","32","MASCULINO","2019/04/03",15
"1224","Numero Total Empleados","33","MASCULINO","2019/04/03",14
"1225","Numero Total Empleados","34","MASCULINO","2019/04/03",9
"1226","Numero Total Empleados","35","MASCULINO","2019/04/03",91
"1227","Numero Total Empleados","39","MASCULINO","2019/04/03",15
"1228","Numero Total Empleados","40","MASCULINO","2019/04/03",9
"1229","Numero Total Empleados","41","MASCULINO","2019/04/03",97
"1230","Numero Total Empleados","42","MASCULINO","2019/04/03",15
"1231","Numero Total Empleados","46","MASCULINO","2019/04/03",106
"1232","Numero Total Empleados","47","MASCULINO","2019/04/03",15
"1233","Numero Total Empleados","50","MASCULINO","2019/04/03",15
"1234","Numero Total Empleados","51","MASCULINO","2019/04/03",97
"1235","Numero Total Empleados","53","MASCULINO","2019/04/03",9
"1236","Numero Total Empleados","66","MASCULINO","2019/04/03",15
"1237","Numero Total Empleados","68","MASCULINO","2019/04/03",14
"1238","Numero Total Empleados","74","MASCULINO","2019/04/03",1
"1239","Numero Total Empleados","26","FEMENINO","2019/04/04",43
"1240","Numero Total Empleados","30","FEMENINO","2019/04/04",1
"1241","Numero Total Empleados","42","FEMENINO","2019/04/04",43
"1242","Numero Total Empleados","43","FEMENINO","2019/04/04",43
"1243","Numero Total Empleados","48","FEMENINO","2019/04/04",43
"1244","Numero Total Empleados","52","FEMENINO","2019/04/04",43
"1245","Numero Total Empleados","58","FEMENINO","2019/04/04",3
"1246","Numero Total Empleados","59","FEMENINO","2019/04/04",43
"1247","Numero Total Empleados","24","MASCULINO","2019/04/04",43
"1248","Numero Total Empleados","25","MASCULINO","2019/04/04",43
"1249","Numero Total Empleados","27","MASCULINO","2019/04/04",43
"1250","Numero Total Empleados","29","MASCULINO","2019/04/04",43
"1251","Numero Total Empleados","31","MASCULINO","2019/04/04",43
"1252","Numero Total Empleados","32","MASCULINO","2019/04/04",43
"1253","Numero Total Empleados","35","MASCULINO","2019/04/04",43
"1254","Numero Total Empleados","36","MASCULINO","2019/04/04",43
"1255","Numero Total Empleados","39","MASCULINO","2019/04/04",3
"1256","Numero Total Empleados","42","MASCULINO","2019/04/04",43
"1257","Numero Total Empleados","44","MASCULINO","2019/04/04",52
"1258","Numero Total Empleados","45","MASCULINO","2019/04/04",43
"1259","Numero Total Empleados","46","MASCULINO","2019/04/04",43
"1260","Numero Total Empleados","47","MASCULINO","2019/04/04",43
"1261","Numero Total Empleados","51","MASCULINO","2019/04/04",43
"1262","Numero Total Empleados","53","MASCULINO","2019/04/04",43
"1263","Numero Total Empleados","56","MASCULINO","2019/04/04",43
"1264","Numero Total Empleados","57","MASCULINO","2019/04/04",3
"1265","Numero Total Empleados","60","MASCULINO","2019/04/04",43
"1266","Numero Total Empleados","61","MASCULINO","2019/04/04",3
"1267","Numero Total Empleados","65","MASCULINO","2019/04/04",3
"1268","Numero Total Empleados","66","MASCULINO","2019/04/04",9
"1269","Numero Total Empleados","24","FEMENINO","2019/04/05",254
"1270","Numero Total Empleados","26","FEMENINO","2019/04/05",254
"1271","Numero Total Empleados","27","FEMENINO","2019/04/05",254
"1272","Numero Total Empleados","28","FEMENINO","2019/04/05",254
"1273","Numero Total Empleados","30","FEMENINO","2019/04/05",254
"1274","Numero Total Empleados","31","FEMENINO","2019/04/05",254
"1275","Numero Total Empleados","32","FEMENINO","2019/04/05",254
"1276","Numero Total Empleados","33","FEMENINO","2019/04/05",254
"1277","Numero Total Empleados","35","FEMENINO","2019/04/05",254
"1278","Numero Total Empleados","36","FEMENINO","2019/04/05",254
"1279","Numero Total Empleados","37","FEMENINO","2019/04/05",254
"1280","Numero Total Empleados","40","FEMENINO","2019/04/05",254
"1281","Numero Total Empleados","43","FEMENINO","2019/04/05",254
"1282","Numero Total Empleados","44","FEMENINO","2019/04/05",254
"1283","Numero Total Empleados","49","FEMENINO","2019/04/05",254
"1284","Numero Total Empleados","50","FEMENINO","2019/04/05",254
"1285","Numero Total Empleados","54","FEMENINO","2019/04/05",254
"1286","Numero Total Empleados","55","FEMENINO","2019/04/05",254
"1287","Numero Total Empleados","59","FEMENINO","2019/04/05",254
"1288","Numero Total Empleados","61","FEMENINO","2019/04/05",254
"1289","Numero Total Empleados","66","FEMENINO","2019/04/05",254
"1290","Numero Total Empleados","68","FEMENINO","2019/04/05",254
"1291","Numero Total Empleados","69","FEMENINO","2019/04/05",254
"1292","Numero Total Empleados","21","MASCULINO","2019/04/05",254
"1293","Numero Total Empleados","23","MASCULINO","2019/04/05",254
"1294","Numero Total Empleados","24","MASCULINO","2019/04/05",254
"1295","Numero Total Empleados","25","MASCULINO","2019/04/05",254
"1296","Numero Total Empleados","26","MASCULINO","2019/04/05",254
"1297","Numero Total Empleados","27","MASCULINO","2019/04/05",254
"1298","Numero Total Empleados","28","MASCULINO","2019/04/05",292
"1299","Numero Total Empleados","29","MASCULINO","2019/04/05",254
"1300","Numero Total Empleados","30","MASCULINO","2019/04/05",254
"1301","Numero Total Empleados","31","MASCULINO","2019/04/05",254
"1302","Numero Total Empleados","32","MASCULINO","2019/04/05",254
"1303","Numero Total Empleados","33","MASCULINO","2019/04/05",292
"1304","Numero Total Empleados","34","MASCULINO","2019/04/05",254
"1305","Numero Total Empleados","35","MASCULINO","2019/04/05",254
"1306","Numero Total Empleados","36","MASCULINO","2019/04/05",254
"1307","Numero Total Empleados","37","MASCULINO","2019/04/05",254
"1308","Numero Total Empleados","38","MASCULINO","2019/04/05",254
"1309","Numero Total Empleados","39","MASCULINO","2019/04/05",254
"1310","Numero Total Empleados","40","MASCULINO","2019/04/05",254
"1311","Numero Total Empleados","41","MASCULINO","2019/04/05",254
"1312","Numero Total Empleados","42","MASCULINO","2019/04/05",255
"1313","Numero Total Empleados","43","MASCULINO","2019/04/05",292
"1314","Numero Total Empleados","44","MASCULINO","2019/04/05",254
"1315","Numero Total Empleados","45","MASCULINO","2019/04/05",254
"1316","Numero Total Empleados","46","MASCULINO","2019/04/05",292
"1317","Numero Total Empleados","47","MASCULINO","2019/04/05",254
"1318","Numero Total Empleados","48","MASCULINO","2019/04/05",254
"1319","Numero Total Empleados","49","MASCULINO","2019/04/05",254
"1320","Numero Total Empleados","50","MASCULINO","2019/04/05",254
"1321","Numero Total Empleados","51","MASCULINO","2019/04/05",254
"1322","Numero Total Empleados","52","MASCULINO","2019/04/05",254
"1323","Numero Total Empleados","53","MASCULINO","2019/04/05",254
"1324","Numero Total Empleados","54","MASCULINO","2019/04/05",254
"1325","Numero Total Empleados","55","MASCULINO","2019/04/05",254
"1326","Numero Total Empleados","56","MASCULINO","2019/04/05",254
"1327","Numero Total Empleados","57","MASCULINO","2019/04/05",254
"1328","Numero Total Empleados","58","MASCULINO","2019/04/05",254
"1329","Numero Total Empleados","59","MASCULINO","2019/04/05",254
"1330","Numero Total Empleados","60","MASCULINO","2019/04/05",254
"1331","Numero Total Empleados","61","MASCULINO","2019/04/05",254
"1332","Numero Total Empleados","62","MASCULINO","2019/04/05",254
"1333","Numero Total Empleados","63","MASCULINO","2019/04/05",254
"1334","Numero Total Empleados","64","MASCULINO","2019/04/05",254
"1335","Numero Total Empleados","65","MASCULINO","2019/04/05",254
"1336","Numero Total Empleados","66","MASCULINO","2019/04/05",254
"1337","Numero Total Empleados","70","MASCULINO","2019/04/05",254
"1338","Numero Total Empleados","95","MASCULINO","2019/04/05",254
"1339","Numero Total Empleados","22","FEMENINO","2019/04/08",9
"1340","Numero Total Empleados","25","FEMENINO","2019/04/08",9
"1341","Numero Total Empleados","27","FEMENINO","2019/04/08",9
"1342","Numero Total Empleados","32","FEMENINO","2019/04/08",464
"1343","Numero Total Empleados","36","FEMENINO","2019/04/08",3
"1344","Numero Total Empleados","53","FEMENINO","2019/04/08",40
"1345","Numero Total Empleados","25","MASCULINO","2019/04/08",27
"1346","Numero Total Empleados","28","MASCULINO","2019/04/08",18
"1347","Numero Total Empleados","29","MASCULINO","2019/04/08",18
"1348","Numero Total Empleados","31","MASCULINO","2019/04/08",18
"1349","Numero Total Empleados","33","MASCULINO","2019/04/08",18
"1350","Numero Total Empleados","35","MASCULINO","2019/04/08",18
"1351","Numero Total Empleados","36","MASCULINO","2019/04/08",18
"1352","Numero Total Empleados","38","MASCULINO","2019/04/08",18
"1353","Numero Total Empleados","40","MASCULINO","2019/04/08",18
"1354","Numero Total Empleados","43","MASCULINO","2019/04/08",18
"1355","Numero Total Empleados","44","MASCULINO","2019/04/08",9
"1356","Numero Total Empleados","45","MASCULINO","2019/04/08",18
"1357","Numero Total Empleados","48","MASCULINO","2019/04/08",3
"1358","Numero Total Empleados","50","MASCULINO","2019/04/08",3
"1359","Numero Total Empleados","55","MASCULINO","2019/04/08",18
"1360","Numero Total Empleados","61","MASCULINO","2019/04/08",18
"1361","Numero Total Empleados","23","FEMENINO","2019/04/09",19
"1362","Numero Total Empleados","28","FEMENINO","2019/04/09",75
"1363","Numero Total Empleados","30","FEMENINO","2019/04/09",75
"1364","Numero Total Empleados","32","FEMENINO","2019/04/09",19
"1365","Numero Total Empleados","37","FEMENINO","2019/04/09",75
"1366","Numero Total Empleados","42","FEMENINO","2019/04/09",15
"1367","Numero Total Empleados","44","FEMENINO","2019/04/09",75
"1368","Numero Total Empleados","22","MASCULINO","2019/04/09",19
"1369","Numero Total Empleados","23","MASCULINO","2019/04/09",34
"1370","Numero Total Empleados","24","MASCULINO","2019/04/09",34
"1371","Numero Total Empleados","26","MASCULINO","2019/04/09",90
"1372","Numero Total Empleados","27","MASCULINO","2019/04/09",19
"1373","Numero Total Empleados","28","MASCULINO","2019/04/09",19
"1374","Numero Total Empleados","32","MASCULINO","2019/04/09",75
"1375","Numero Total Empleados","35","MASCULINO","2019/04/09",15
"1376","Numero Total Empleados","38","MASCULINO","2019/04/09",15
"1377","Numero Total Empleados","40","MASCULINO","2019/04/09",90
"1378","Numero Total Empleados","41","MASCULINO","2019/04/09",90
"1379","Numero Total Empleados","43","MASCULINO","2019/04/09",15
"1380","Numero Total Empleados","44","MASCULINO","2019/04/09",15
"1381","Numero Total Empleados","46","MASCULINO","2019/04/09",15
"1382","Numero Total Empleados","50","MASCULINO","2019/04/09",15
"1383","Numero Total Empleados","51","MASCULINO","2019/04/09",15
"1384","Numero Total Empleados","22","FEMENINO","2019/04/10",100
"1385","Numero Total Empleados","23","FEMENINO","2019/04/10",107
"1386","Numero Total Empleados","24","FEMENINO","2019/04/10",100
"1387","Numero Total Empleados","26","FEMENINO","2019/04/10",100
"1388","Numero Total Empleados","28","FEMENINO","2019/04/10",121
"1389","Numero Total Empleados","37","FEMENINO","2019/04/10",3
"1390","Numero Total Empleados","38","FEMENINO","2019/04/10",100
"1391","Numero Total Empleados","48","FEMENINO","2019/04/10",100
"1392","Numero Total Empleados","51","FEMENINO","2019/04/10",100
"1393","Numero Total Empleados","60","FEMENINO","2019/04/10",103
"1394","Numero Total Empleados","67","FEMENINO","2019/04/10",3
"1395","Numero Total Empleados","22","MASCULINO","2019/04/10",100
"1396","Numero Total Empleados","23","MASCULINO","2019/04/10",100
"1397","Numero Total Empleados","24","MASCULINO","2019/04/10",100
"1398","Numero Total Empleados","25","MASCULINO","2019/04/10",100
"1399","Numero Total Empleados","26","MASCULINO","2019/04/10",121
"1400","Numero Total Empleados","27","MASCULINO","2019/04/10",107
"1401","Numero Total Empleados","28","MASCULINO","2019/04/10",21
"1402","Numero Total Empleados","29","MASCULINO","2019/04/10",107
"1403","Numero Total Empleados","30","MASCULINO","2019/04/10",100
"1404","Numero Total Empleados","31","MASCULINO","2019/04/10",107
"1405","Numero Total Empleados","32","MASCULINO","2019/04/10",21
"1406","Numero Total Empleados","34","MASCULINO","2019/04/10",100
"1407","Numero Total Empleados","35","MASCULINO","2019/04/10",21
"1408","Numero Total Empleados","36","MASCULINO","2019/04/10",121
"1409","Numero Total Empleados","37","MASCULINO","2019/04/10",121
"1410","Numero Total Empleados","38","MASCULINO","2019/04/10",121
"1411","Numero Total Empleados","39","MASCULINO","2019/04/10",100
"1412","Numero Total Empleados","41","MASCULINO","2019/04/10",100
"1413","Numero Total Empleados","42","MASCULINO","2019/04/10",100
"1414","Numero Total Empleados","43","MASCULINO","2019/04/10",121
"1415","Numero Total Empleados","44","MASCULINO","2019/04/10",100
"1416","Numero Total Empleados","45","MASCULINO","2019/04/10",121
"1417","Numero Total Empleados","46","MASCULINO","2019/04/10",100
"1418","Numero Total Empleados","47","MASCULINO","2019/04/10",121
"1419","Numero Total Empleados","48","MASCULINO","2019/04/10",100
"1420","Numero Total Empleados","49","MASCULINO","2019/04/10",121
"1421","Numero Total Empleados","50","MASCULINO","2019/04/10",100
"1422","Numero Total Empleados","51","MASCULINO","2019/04/10",107
"1423","Numero Total Empleados","52","MASCULINO","2019/04/10",121
"1424","Numero Total Empleados","53","MASCULINO","2019/04/10",128
"1425","Numero Total Empleados","54","MASCULINO","2019/04/10",100
"1426","Numero Total Empleados","55","MASCULINO","2019/04/10",121
"1427","Numero Total Empleados","56","MASCULINO","2019/04/10",121
"1428","Numero Total Empleados","57","MASCULINO","2019/04/10",121
"1429","Numero Total Empleados","58","MASCULINO","2019/04/10",121
"1430","Numero Total Empleados","59","MASCULINO","2019/04/10",121
"1431","Numero Total Empleados","60","MASCULINO","2019/04/10",101
"1432","Numero Total Empleados","61","MASCULINO","2019/04/10",100
"1433","Numero Total Empleados","62","MASCULINO","2019/04/10",100
"1434","Numero Total Empleados","65","MASCULINO","2019/04/10",100
"1435","Numero Total Empleados","66","MASCULINO","2019/04/10",100
"1436","Numero Total Empleados","69","MASCULINO","2019/04/10",7
"1437","Numero Total Empleados","75","MASCULINO","2019/04/10",100
"1438","Numero Total Empleados","22","FEMENINO","2019/04/11",90
"1439","Numero Total Empleados","24","FEMENINO","2019/04/11",90
"1440","Numero Total Empleados","30","FEMENINO","2019/04/11",90
"1441","Numero Total Empleados","37","FEMENINO","2019/04/11",4
"1442","Numero Total Empleados","47","FEMENINO","2019/04/11",90
"1443","Numero Total Empleados","54","FEMENINO","2019/04/11",90
"1444","Numero Total Empleados","56","FEMENINO","2019/04/11",90
"1445","Numero Total Empleados","60","FEMENINO","2019/04/11",4
"1446","Numero Total Empleados","62","FEMENINO","2019/04/11",5
"1447","Numero Total Empleados","64","FEMENINO","2019/04/11",90
"1448","Numero Total Empleados","67","FEMENINO","2019/04/11",4
"1449","Numero Total Empleados","22","MASCULINO","2019/04/11",90
"1450","Numero Total Empleados","23","MASCULINO","2019/04/11",90
"1451","Numero Total Empleados","24","MASCULINO","2019/04/11",90
"1452","Numero Total Empleados","25","MASCULINO","2019/04/11",90
"1453","Numero Total Empleados","26","MASCULINO","2019/04/11",98
"1454","Numero Total Empleados","27","MASCULINO","2019/04/11",90
"1455","Numero Total Empleados","28","MASCULINO","2019/04/11",94
"1456","Numero Total Empleados","29","MASCULINO","2019/04/11",95
"1457","Numero Total Empleados","30","MASCULINO","2019/04/11",90
"1458","Numero Total Empleados","32","MASCULINO","2019/04/11",90
"1459","Numero Total Empleados","33","MASCULINO","2019/04/11",90
"1460","Numero Total Empleados","34","MASCULINO","2019/04/11",90
"1461","Numero Total Empleados","35","MASCULINO","2019/04/11",90
"1462","Numero Total Empleados","36","MASCULINO","2019/04/11",90
"1463","Numero Total Empleados","37","MASCULINO","2019/04/11",90
"1464","Numero Total Empleados","38","MASCULINO","2019/04/11",90
"1465","Numero Total Empleados","39","MASCULINO","2019/04/11",107
"1466","Numero Total Empleados","40","MASCULINO","2019/04/11",90
"1467","Numero Total Empleados","41","MASCULINO","2019/04/11",107
"1468","Numero Total Empleados","42","MASCULINO","2019/04/11",98
"1469","Numero Total Empleados","43","MASCULINO","2019/04/11",90
"1470","Numero Total Empleados","44","MASCULINO","2019/04/11",90
"1471","Numero Total Empleados","46","MASCULINO","2019/04/11",90
"1472","Numero Total Empleados","48","MASCULINO","2019/04/11",90
"1473","Numero Total Empleados","50","MASCULINO","2019/04/11",90
"1474","Numero Total Empleados","52","MASCULINO","2019/04/11",90
"1475","Numero Total Empleados","53","MASCULINO","2019/04/11",90
"1476","Numero Total Empleados","54","MASCULINO","2019/04/11",90
"1477","Numero Total Empleados","55","MASCULINO","2019/04/11",90
"1478","Numero Total Empleados","56","MASCULINO","2019/04/11",92
"1479","Numero Total Empleados","57","MASCULINO","2019/04/11",90
"1480","Numero Total Empleados","58","MASCULINO","2019/04/11",90
"1481","Numero Total Empleados","59","MASCULINO","2019/04/11",90
"1482","Numero Total Empleados","60","MASCULINO","2019/04/11",90
"1483","Numero Total Empleados","61","MASCULINO","2019/04/11",2
"1484","Numero Total Empleados","62","MASCULINO","2019/04/11",90
"1485","Numero Total Empleados","63","MASCULINO","2019/04/11",5
"1486","Numero Total Empleados","64","MASCULINO","2019/04/11",13
"1487","Numero Total Empleados","68","MASCULINO","2019/04/11",90
"1488","Numero Total Empleados","55","MASCULINO","2019/04/12",1
"1489","Numero Total Empleados","64","MASCULINO","2019/04/12",1
"1490","Numero Total Empleados","25","FEMENINO","2019/04/15",22
"1491","Numero Total Empleados","57","FEMENINO","2019/04/15",52
"1492","Numero Total Empleados","22","MASCULINO","2019/04/15",52
"1493","Numero Total Empleados","23","MASCULINO","2019/04/15",22
"1494","Numero Total Empleados","24","MASCULINO","2019/04/15",22
"1495","Numero Total Empleados","25","MASCULINO","2019/04/15",22
"1496","Numero Total Empleados","29","MASCULINO","2019/04/15",22
"1497","Numero Total Empleados","32","MASCULINO","2019/04/15",22
"1498","Numero Total Empleados","33","MASCULINO","2019/04/15",22
"1499","Numero Total Empleados","34","MASCULINO","2019/04/15",22
"1500","Numero Total Empleados","35","MASCULINO","2019/04/15",22
"1501","Numero Total Empleados","42","MASCULINO","2019/04/15",22
"1502","Numero Total Empleados","43","MASCULINO","2019/04/15",22
"1503","Numero Total Empleados","46","MASCULINO","2019/04/15",22
"1504","Numero Total Empleados","48","MASCULINO","2019/04/15",22
"1505","Numero Total Empleados","52","MASCULINO","2019/04/15",22
"1506","Numero Total Empleados","55","MASCULINO","2019/04/15",22
"1507","Numero Total Empleados","56","MASCULINO","2019/04/15",22
"1508","Numero Total Empleados","31","FEMENINO","2019/04/16",4
"1509","Numero Total Empleados","34","FEMENINO","2019/04/16",4
"1510","Numero Total Empleados","52","FEMENINO","2019/04/16",4
"1511","Numero Total Empleados","61","FEMENINO","2019/04/16",4
"1512","Numero Total Empleados","22","MASCULINO","2019/04/16",35
"1513","Numero Total Empleados","25","MASCULINO","2019/04/16",70
"1514","Numero Total Empleados","26","MASCULINO","2019/04/16",35
"1515","Numero Total Empleados","28","MASCULINO","2019/04/16",37
"1516","Numero Total Empleados","29","MASCULINO","2019/04/16",35
"1517","Numero Total Empleados","31","MASCULINO","2019/04/16",70
"1518","Numero Total Empleados","33","MASCULINO","2019/04/16",35
"1519","Numero Total Empleados","34","MASCULINO","2019/04/16",35
"1520","Numero Total Empleados","35","MASCULINO","2019/04/16",70
"1521","Numero Total Empleados","36","MASCULINO","2019/04/16",42
"1522","Numero Total Empleados","37","MASCULINO","2019/04/16",35
"1523","Numero Total Empleados","39","MASCULINO","2019/04/16",70
"1524","Numero Total Empleados","41","MASCULINO","2019/04/16",35
"1525","Numero Total Empleados","43","MASCULINO","2019/04/16",35
"1526","Numero Total Empleados","45","MASCULINO","2019/04/16",35
"1527","Numero Total Empleados","46","MASCULINO","2019/04/16",70
"1528","Numero Total Empleados","47","MASCULINO","2019/04/16",35
"1529","Numero Total Empleados","48","MASCULINO","2019/04/16",35
"1530","Numero Total Empleados","52","MASCULINO","2019/04/16",35
"1531","Numero Total Empleados","62","MASCULINO","2019/04/16",35
"1532","Numero Total Empleados","23","FEMENINO","2019/04/22",177
"1533","Numero Total Empleados","24","FEMENINO","2019/04/22",177
"1534","Numero Total Empleados","25","FEMENINO","2019/04/22",177
"1535","Numero Total Empleados","26","FEMENINO","2019/04/22",177
"1536","Numero Total Empleados","27","FEMENINO","2019/04/22",177
"1537","Numero Total Empleados","28","FEMENINO","2019/04/22",177
"1538","Numero Total Empleados","30","FEMENINO","2019/04/22",177
"1539","Numero Total Empleados","31","FEMENINO","2019/04/22",177
"1540","Numero Total Empleados","32","FEMENINO","2019/04/22",177
"1541","Numero Total Empleados","35","FEMENINO","2019/04/22",177
"1542","Numero Total Empleados","37","FEMENINO","2019/04/22",177
"1543","Numero Total Empleados","39","FEMENINO","2019/04/22",177
"1544","Numero Total Empleados","40","FEMENINO","2019/04/22",177
"1545","Numero Total Empleados","41","FEMENINO","2019/04/22",177
"1546","Numero Total Empleados","44","FEMENINO","2019/04/22",177
"1547","Numero Total Empleados","52","FEMENINO","2019/04/22",177
"1548","Numero Total Empleados","53","FEMENINO","2019/04/22",177
"1549","Numero Total Empleados","57","FEMENINO","2019/04/22",177
"1550","Numero Total Empleados","22","MASCULINO","2019/04/22",177
"1551","Numero Total Empleados","23","MASCULINO","2019/04/22",177
"1552","Numero Total Empleados","24","MASCULINO","2019/04/22",177
"1553","Numero Total Empleados","25","MASCULINO","2019/04/22",177
"1554","Numero Total Empleados","26","MASCULINO","2019/04/22",177
"1555","Numero Total Empleados","27","MASCULINO","2019/04/22",177
"1556","Numero Total Empleados","28","MASCULINO","2019/04/22",177
"1557","Numero Total Empleados","29","MASCULINO","2019/04/22",177
"1558","Numero Total Empleados","30","MASCULINO","2019/04/22",177
"1559","Numero Total Empleados","31","MASCULINO","2019/04/22",177
"1560","Numero Total Empleados","32","MASCULINO","2019/04/22",177
"1561","Numero Total Empleados","33","MASCULINO","2019/04/22",177
"1562","Numero Total Empleados","34","MASCULINO","2019/04/22",177
"1563","Numero Total Empleados","35","MASCULINO","2019/04/22",177
"1564","Numero Total Empleados","36","MASCULINO","2019/04/22",177
"1565","Numero Total Empleados","37","MASCULINO","2019/04/22",177
"1566","Numero Total Empleados","38","MASCULINO","2019/04/22",177
"1567","Numero Total Empleados","39","MASCULINO","2019/04/22",177
"1568","Numero Total Empleados","40","MASCULINO","2019/04/22",177
"1569","Numero Total Empleados","41","MASCULINO","2019/04/22",177
"1570","Numero Total Empleados","42","MASCULINO","2019/04/22",177
"1571","Numero Total Empleados","43","MASCULINO","2019/04/22",177
"1572","Numero Total Empleados","44","MASCULINO","2019/04/22",177
"1573","Numero Total Empleados","45","MASCULINO","2019/04/22",177
"1574","Numero Total Empleados","46","MASCULINO","2019/04/22",177
"1575","Numero Total Empleados","47","MASCULINO","2019/04/22",177
"1576","Numero Total Empleados","48","MASCULINO","2019/04/22",177
"1577","Numero Total Empleados","49","MASCULINO","2019/04/22",177
"1578","Numero Total Empleados","50","MASCULINO","2019/04/22",177
"1579","Numero Total Empleados","51","MASCULINO","2019/04/22",177
"1580","Numero Total Empleados","52","MASCULINO","2019/04/22",177
"1581","Numero Total Empleados","53","MASCULINO","2019/04/22",177
"1582","Numero Total Empleados","54","MASCULINO","2019/04/22",177
"1583","Numero Total Empleados","55","MASCULINO","2019/04/22",177
"1584","Numero Total Empleados","56","MASCULINO","2019/04/22",177
"1585","Numero Total Empleados","58","MASCULINO","2019/04/22",177
"1586","Numero Total Empleados","59","MASCULINO","2019/04/22",177
"1587","Numero Total Empleados","60","MASCULINO","2019/04/22",177
"1588","Numero Total Empleados","61","MASCULINO","2019/04/22",177
"1589","Numero Total Empleados","63","MASCULINO","2019/04/22",177
"1590","Numero Total Empleados","64","MASCULINO","2019/04/22",177
"1591","Numero Total Empleados","65","MASCULINO","2019/04/22",177
"1592","Numero Total Empleados","66","MASCULINO","2019/04/22",177
