"Activity","Indicator","Backlash_Avg","National_Avg","P_Value","Ratio","Significance"
"Coal","% of Municipalities with Mining",0.0277777777777778,0.138297872340425,0.000553419661109111,0.200854700854701,"*** (p < 0.01)"
"Coal","Average Annual Royalties (COP)",76407780.1429861,3912270997.37369,0.0488451401724851,0.019530288212212,"** (p < 0.05)"
"Oil/Gas","% of Producing Municipalities",0.138888888888889,0.112185686653772,0.65498090696984,1.23802681992337,"Not significant"
"Oil/Gas","Average Annual Royalties (COP)",4334845500.5838,6218099994.62637,0.636902508910357,0.697133449820674,"Not significant"
"Solar (Renewables)","% of Municipalities with Projects",0.194444444444444,0.114119922630561,0.24257896655353,1.70386064030132,"Not significant"
"Solar (Renewables)","Average Capacity (MW)",8.02777777777778,3.06576402321084,0.498157832199405,2.61852436032246,"Not significant"
